time union1 union2 union3
0, 90, -nan, -nan
0.596996, -55.6105, 74.0987, 35.3997
0.597996, -55.639, 74.075, 35.4307
0.598996, -55.6675, 74.0515, 35.4617
0.599996, -55.6959, 74.028, 35.4926
0.600996, -55.7241, 74.0046, 35.5234
0.601996, -55.7522, 73.9812, 35.5542
0.602996, -55.7802, 73.9579, 35.5848
0.603996, -55.808, 73.9347, 35.6154
0.604996, -55.8358, 73.9115, 35.646
0.605996, -55.8634, 73.8883, 35.6764
0.606996, -55.8909, 73.8652, 35.7068
0.607996, -55.9183, 73.8421, 35.7371
0.608996, -55.9456, 73.8191, 35.7673
0.609996, -55.9727, 73.7962, 35.7975
0.610996, -55.9998, 73.7732, 35.8276
0.611996, -56.0267, 73.7504, 35.8576
0.612996, -56.0535, 73.7277, 35.8875
0.613996, -56.0802, 73.7048, 35.9174
0.614996, -56.1068, 73.6822, 35.9472
0.615996, -56.1332, 73.6595, 35.977
0.616996, -56.1596, 73.637, 36.0066
0.617996, -56.1859, 73.6144, 36.0362
0.618996, -56.212, 73.592, 36.0657
0.619996, -56.238, 73.5695, 36.0952
0.620996, -56.264, 73.5471, 36.1246
0.621996, -56.2898, 73.5248, 36.1539
0.622996, -56.3155, 73.5024, 36.1831
0.623996, -56.3411, 73.4802, 36.2123
0.624996, -56.3666, 73.458, 36.2414
0.625996, -56.392, 73.4359, 36.2705
0.626996, -56.4173, 73.4138, 36.2994
0.627995, -56.4425, 73.3918, 36.3283
0.628995, -56.4676, 73.3698, 36.3572
0.629995, -56.4926, 73.3477, 36.386
0.630995, -56.5174, 73.3259, 36.4147
0.631995, -56.5422, 73.304, 36.4433
0.632995, -56.5669, 73.2822, 36.4719
0.633995, -56.5915, 73.2604, 36.5004
0.634995, -56.6159, 73.2387, 36.5288
0.635995, -56.6404, 73.217, 36.5572
0.636995, -56.6647, 73.1954, 36.5856
0.637995, -56.6888, 73.1739, 36.6138
0.638995, -56.7129, 73.1523, 36.642
0.639995, -56.7369, 73.1308, 36.6701
0.640995, -56.7608, 73.1094, 36.6982
